Pathway,Celltype,Cor,Enrich_Score,Padj
ADIPOGENESIS,B cells Memory,-0.554502618752945,0,> 0.05
ADIPOGENESIS,B cells Naive,-0.230373663480225,NA,> 0.05
ADIPOGENESIS,CAFs MSC iCAF-like,-0.451776292541956,0,> 0.05
ADIPOGENESIS,CAFs myCAF-like,-0.713786131989159,0,> 0.05
ADIPOGENESIS,Cancer Basal SC,-0.397381267110078,-1.62721550960004,0.00373853935181429
ADIPOGENESIS,Cancer Cycling,-0.0678200890962444,0,> 0.05
ADIPOGENESIS,Cancer Her2 SC,0.0590063290880365,0,> 0.05
ADIPOGENESIS,Cancer LumA SC,0.244168401134751,0,> 0.05
ADIPOGENESIS,Cancer LumB SC,0.0308400214411964,0,> 0.05
ADIPOGENESIS,Cycling PVL,-0.241966930165397,0,> 0.05
ADIPOGENESIS,Cycling T-cells,-0.484704616450654,0,0
ADIPOGENESIS,Cycling Myeloid,0.117021301074147,0,> 0.05
ADIPOGENESIS,DCs,-0.368493024144115,0,> 0.05
ADIPOGENESIS,Endothelial ACKR1,-0.799193974341097,-1.88263645005821,7.77204951255267e-07
ADIPOGENESIS,Endothelial CXCL12,-0.575818986553516,0,> 0.05
ADIPOGENESIS,Endothelial Lymphatic LYVE1,-0.546416018512736,0,0
ADIPOGENESIS,Endothelial RGS5,-0.712332976731279,-1.58545017167768,0.00269543993079412
ADIPOGENESIS,Luminal Progenitors,-0.463882128067977,NA,> 0.05
ADIPOGENESIS,Macrophage,-0.347000683025391,-1.8426843556121,1.7851276004393e-05
ADIPOGENESIS,Mature Luminal,-0.38348913807129,NA,> 0.05
ADIPOGENESIS,Monocyte,-0.350689057048099,0,> 0.05
ADIPOGENESIS,Myoepithelial,-0.0387643239318608,NA,> 0.05
ADIPOGENESIS,NK cells,-0.469172270942162,-1.65192258022593,0.0036258156801681
ADIPOGENESIS,NKT cells,-0.494469860143919,0,> 0.05
ADIPOGENESIS,Plasmablasts,-0.41993452746179,-1.78337959009916,0.000197872975668111
ADIPOGENESIS,PVL Differentiated,-0.694388224046888,0,> 0.05
ADIPOGENESIS,PVL Immature,-0.803233240821041,-1.81681224468289,6.94812069441175e-05
ADIPOGENESIS,T cells CD4+,-0.437685420071474,-1.80872982485004,4.46103445023941e-05
ADIPOGENESIS,T cells CD8+,-0.467314934473663,-1.74844812667676,2.61958191252892e-05
ALLOGRAFT REJECTION,B cells Memory,0.284656188851198,0,> 0.05
ALLOGRAFT REJECTION,B cells Naive,0.210268094621607,NA,> 0.05
ALLOGRAFT REJECTION,CAFs MSC iCAF-like,0.10546955141302,0,> 0.05
ALLOGRAFT REJECTION,CAFs myCAF-like,-0.183933190580521,0,> 0.05
ALLOGRAFT REJECTION,Cancer Basal SC,-0.214835948570631,0,> 0.05
ALLOGRAFT REJECTION,Cancer Cycling,-0.487935086213724,0,> 0.05
